"","X","model","state","observations","dwell_time","estimates","true","mean","median","sd","bias_mean","bias_mean_pp","bias_median","bias_median_pp","coverage_pp"
"131",11,"mhmm",3,1000,"19.5","dwell_mu_bar_2",19.496,16.96,16.9,1.32,-2.54,13.01,-2.59,13.3,52.34
"132",12,"mhmm",3,1000,"19.5","dwell_mu_bar_3",19.496,17.38,17.32,1.34,-2.12,10.86,-2.17,11.15,67.19
"133",1,"mhmm",3,1000,"99.5","gamma_prob_bar_S1toS1_no_diag",0,0,0,0,0,NA,0,NA,100
"134",2,"mhmm",3,1000,"99.5","gamma_prob_bar_S1toS2_no_diag",0.5,0.5,0.5,0.03,0,0.96,0,0.96,99.22
"135",3,"mhmm",3,1000,"99.5","gamma_prob_bar_S1toS3_no_diag",0.5,0.5,0.5,0.03,0,0.96,0,0.96,99.22
"136",4,"mhmm",3,1000,"99.5","gamma_prob_bar_S2toS1_no_diag",0.5,0.51,0.51,0.03,0.01,1.23,0.01,1.19,100
"137",5,"mhmm",3,1000,"99.5","gamma_prob_bar_S2toS2_no_diag",0,0,0,0,0,NA,0,NA,100
"138",6,"mhmm",3,1000,"99.5","gamma_prob_bar_S2toS3_no_diag",0.5,0.49,0.49,0.03,-0.01,1.23,-0.01,1.19,100
"139",7,"mhmm",3,1000,"99.5","gamma_prob_bar_S3toS1_no_diag",0.5,0.5,0.5,0.03,0,0.18,0,0.17,98.44
"140",8,"mhmm",3,1000,"99.5","gamma_prob_bar_S3toS2_no_diag",0.5,0.5,0.5,0.03,0,0.18,0,0.17,98.44
"141",9,"mhmm",3,1000,"99.5","gamma_prob_bar_S3toS3_no_diag",0,0,0,0,0,NA,0,NA,100
"142",10,"mhmm",3,1000,"99.5","dwell_mu_bar_1",99.499,62.99,62.63,6.35,-36.51,36.7,-36.87,37.05,0
"143",11,"mhmm",3,1000,"99.5","dwell_mu_bar_2",99.499,61.25,60.9,6.36,-38.25,38.44,-38.6,38.79,0
"144",12,"mhmm",3,1000,"99.5","dwell_mu_bar_3",99.499,62.4,62.05,6.47,-37.1,37.29,-37.45,37.64,0
