"","model","item","state","estimate","median","mean","sd","ci_025","ci_975"
"218","medhmm","agitated","2","var",611.459965885916,617.841475840836,71.8923734150523,509.226890147868,781.644026991956
"219","medhmm","agitated","3","var",573.164518094527,583.870081403913,82.6281832119771,458.566823951924,775.337158887959
"220","medhmm","agitated","4","var",201.742577847273,203.710032499071,33.2619698011055,144.946603214412,277.224375479172
"221","medhmm","irritated","1","var",35.05325045505,37.2176389854721,9.8476699790537,24.8815269000536,62.5888225309149
"222","medhmm","irritated","2","var",536.966313412895,547.661672719304,71.8447175304303,438.2685850603,721.735254619479
"223","medhmm","irritated","3","var",529.086563689261,546.510732094846,81.913585783493,430.724021346139,752.169680477395
"224","medhmm","irritated","4","var",306.096068971023,312.041644569493,47.420159678251,237.763430442258,422.372117958336
"225","medhmm","switch and focus","1","var",112.255607080324,118.776259245949,28.3385323278989,83.5392615570061,191.677099968089
"226","medhmm","switch and focus","2","var",450.86024681649,461.853170989569,66.3180042079963,364.956272527047,610.945289789484
"227","medhmm","switch and focus","3","var",294.655299894292,302.646436777362,50.1997421406796,228.577757839509,420.156819500684
"228","medhmm","switch and focus","4","var",100.518361057754,104.872776824369,20.6032381963238,76.0699408357536,157.525945256416
"229","medhmm","extremely well","1","var",130.955511623257,138.605556237087,33.9928394343051,98.2296616541181,226.027147470365
"230","medhmm","extremely well","2","var",495.5152716006,507.471592202974,79.6179829545803,395.76223178855,697.132144896604
"231","medhmm","extremely well","3","var",149.161074613472,154.494778798025,30.6924642230047,106.50776551184,226.285649289241
"232","medhmm","extremely well","4","var",69.1313985570451,70.7125915546161,14.2303476465219,49.3045196649976,104.712828799379
"233","medhmm","full of ideas","1","var",116.276841777682,121.248517656184,26.3966288823303,87.9769242110233,189.692888598641
